Date;Close_GJTL;Close_TLKM;Close_UNTR;Close_DILD;Close_UNVR
19/04/2019;675;3860;26075;336;9880
22/04/2019;680;3780;26075;334;9655
23/04/2019;705;3850;27200;338;9850
24/04/2019;700;3840;27550;338;9730
25/04/2019;685;3830;27675;332;9280
26/04/2019;695;3910;27600;336;9100
29/04/2019;680;3860;26950;336;9000
30/04/2019;740;3790;27175;332;9100
01/05/2019;740;3790;27175;332;9100
02/05/2019;725;3830;26825;334;9045
03/05/2019;740;3820;26625;334;8930
06/05/2019;710;3840;26925;328;9065
07/05/2019;735;3900;27150;328;8900
08/05/2019;750;3900;27150;324;8960
09/05/2019;715;3800;26100;324;8610
10/05/2019;715;3790;26250;324;8840
13/05/2019;705;3770;25525;316;8720
14/05/2019;690;3760;25525;324;8570
15/05/2019;660;3660;25350;314;8400
16/05/2019;640;3600;24850;314;8360
17/05/2019;620;3510;24825;324;8320
20/05/2019;625;3600;24500;322;8460
21/05/2019;635;3600;24725;318;8475
22/05/2019;630;3540;24400;324;8415
23/05/2019;655;3660;25550;320;8620
24/05/2019;665;3750;25100;322;8705
27/05/2019;665;3820;24850;320;8640
28/05/2019;655;3690;24300;320;8500
29/05/2019;665;3780;24875;324;8700
30/05/2019;665;3780;24875;324;8700
31/05/2019;665;3900;25350;326;8900
03/06/2019;665;3900;25350;326;8900
04/06/2019;665;3900;25350;326;8900
05/06/2019;665;3900;25350;326;8900
06/06/2019;665;3900;25350;326;8900
07/06/2019;665;3900;25350;326;8900
10/06/2019;685;4040;26550;326;8930
11/06/2019;665;4020;26700;326;8860
12/06/2019;650;3940;26775;316;9000
13/06/2019;650;3990;26750;314;8980
14/06/2019;655;3990;26900;316;8960
17/06/2019;650;3900;27025;324;8960
18/06/2019;655;3980;27200;352;9120
19/06/2019;null;null;null;null;9180
20/06/2019;660;4040;27500;416;9220
21/06/2019;660;4040;27450;416;9060
24/06/2019;685;3980;27450;420;8935
25/06/2019;705;4010;27800;420;9045
26/06/2019;710;3980;27800;416;8965
27/06/2019;690;4090;28075;406;8970
28/06/2019;715;4140;28200;384;9000
01/07/2019;730;4220;28825;396;9000
02/07/2019;730;4250;28475;398;9015
03/07/2019;745;4240;28250;396;8980
04/07/2019;740;4250;27700;398;8995
05/07/2019;725;4280;28025;400;8990
08/07/2019;730;4270;27300;408;9000
09/07/2019;745;4350;27700;398;9005
10/07/2019;735;4290;28025;400;9000
11/07/2019;755;4270;28000;404;8960
12/07/2019;750;4180;27850;434;8955
